Section,Division,Group,Class,Activity
,,16.1,,Sawmilling and planing of wood; processing and finishing of wood
,,,16.11,Sawmilling and planing of wood
,,,16.12,Processing and finishing of wood
,,16.2,,"Manufacture of products of wood, cork, straw and plaiting materials"
,,,16.21,Manufacture of veneer sheets and wood-based panels
,,,16.22,Manufacture of assembled parquet floors
,,,16.23,Manufacture of other builders’ carpentry and joinery
,,,16.24,Manufacture of wooden containers
,,,16.25,Manufacture of doors and windows of wood
,,,16.26,Manufacture of solid fuels from vegetable biomass
,,,16.27,Finishing of wooden products
,,,16.28,"Manufacture of other products of wood and articles of cork, straw and plaiting materials"
,17,,,Manufacture of paper and paper products
,,17.1,,"Manufacture of pulp, paper and paperboard"
,,,17.11,Manufacture of pulp
,,,17.12,Manufacture of paper and paperboard
,,17.2,,Manufacture of articles of paper and paperboard
,,,17.21,"Manufacture of corrugated paper, paperboard and containers of paper and paperboard"
,,,17.22,Manufacture of household and sanitary goods and of toilet requisites
,,,17.23,Manufacture of paper stationery
,,,17.24,Manufacture of wallpaper
,,,17.25,Manufacture of other articles of paper and paperboard
,18,,,Printing and reproduction of recorded media
,,18.1,,Printing and service activities related to printing
,,,18.11,Printing of newspapers
,,,18.12,Other printing
,,,18.13,Pre-press and pre-media services
,,,18.14,Binding and related services
,,18.2,,Reproduction of recorded media
,,,18.20,Reproduction of recorded media
,19,,,Manufacture of coke and refined petroleum products
,,19.1,,Manufacture of coke oven products
,,,19.10,Manufacture of coke oven products
,,19.2,,Manufacture of refined petroleum products and fossil fuel products
,,,19.20,Manufacture of refined petroleum products and fossil fuel products
,20,,,Manufacture of chemicals and chemical products
,,20.1,,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
,,,20.11,Manufacture of industrial gases
,,,20.12,Manufacture of dyes and pigments
,,,20.13,Manufacture of other inorganic basic chemicals
,,,20.14,Manufacture of other organic basic chemicals
,,,20.15,Manufacture of fertilisers and nitrogen compounds
,,,20.16,Manufacture of plastics in primary forms
,,,20.17,Manufacture of synthetic rubber in primary forms
,,20.2,,"Manufacture of pesticides, disinfectants and other agrochemical products"
,,,20.20,"Manufacture of pesticides, disinfectants and other agrochemical products"
,,20.3,,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
,,,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
,,20.4,,"Manufacture of washing, cleaning and polishing preparations"
,,,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations"
,,,20.42,Manufacture of perfume and toilet preparations
,,20.5,,Manufacture of other chemical products
,,,20.51,Manufacture of liquid biofuels
,,,20.59,Manufacture of other chemical products n.e.c.
,,20.6,,Manufacture of man-made fibres
,,,20.60,Manufacture of man-made fibres
,21,,,Manufacture of basic pharmaceutical products and pharmaceutical preparations
,,21.1,,Manufacture of basic pharmaceutical products
,,,21.10,Manufacture of basic pharmaceutical products
,,21.2,,Manufacture of pharmaceutical preparations
,,,21.20,Manufacture of pharmaceutical preparations
,22,,,Manufacture of rubber and plastic products
,,22.1,,Manufacture of rubber products
,,,22.11,"Manufacture, retreading and rebuilding of rubber tyres and manufacture of tubes"
,,,22.12,Manufacture of other rubber products
,,22.2,,Manufacture of plastic products
,,,22.21,"Manufacture of plastic plates, sheets, tubes and profiles"
,,,22.22,Manufacture of plastic packing goods
,,,22.23,Manufacture of doors and windows of plastic
,,,22.24,Manufacture of builders’ ware of plastic
,,,22.25,Processing and finishing of plastic products
,,,22.26,Manufacture of other plastic products
,23,,,Manufacture of other non-metallic mineral products
,,23.1,,Manufacture of glass and glass products
,,,23.11,Manufacture of flat glass
,,,23.12,Shaping and processing of flat glass
,,,23.13,Manufacture of hollow glass
,,,23.14,Manufacture of glass fibres
,,,23.15,"Manufacture and processing of other glass, including technical glassware"
,,23.2,,Manufacture of refractory products
,,,23.20,Manufacture of refractory products
,,23.3,,Manufacture of clay building materials
,,,23.31,Manufacture of ceramic tiles and flags
,,,23.32,"Manufacture of bricks, tiles and construction products, in baked clay"
,,23.4,,Manufacture of other porcelain and ceramic products
,,,23.41,Manufacture of ceramic household and ornamental articles
,,,23.42,Manufacture of ceramic sanitary fixtures
,,,23.43,Manufacture of ceramic insulators and insulating fittings
,,,23.44,Manufacture of other technical ceramic products
,,,23.45,Manufacture of other ceramic products
,,23.5,,"Manufacture of cement, lime and plaster"
,,,23.51,Manufacture of cement
,,,23.52,Manufacture of lime and plaster
,,23.6,,"Manufacture of articles of concrete, cement and plaster"
,,,23.61,Manufacture of concrete products for construction purposes
,,,23.62,Manufacture of plaster products for construction purposes
,,,23.63,Manufacture of ready-mixed concrete
,,,23.64,Manufacture of mortars
,,,23.65,Manufacture of fibre cement
,,,23.66,"Manufacture of other articles of concrete, cement and plaster"
,,23.7,,"Cutting, shaping and finishing of stone"
,,,23.70,"Cutting, shaping and finishing of stone"
,,23.9,,Manufacture of abrasive products and non-metallic mineral products n.e.c.
,,,23.91,Manufacture of abrasive products
,,,23.99,Manufacture of other non-metallic mineral products n.e.c.
,24,,,Manufacture of basic metals
,,24.1,,Manufacture of basic iron and steel and of ferro-alloys
,,,24.10,Manufacture of basic iron and steel and of ferro-alloys
,,24.2,,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
,,,24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
,,24.3,,Manufacture of other products of first processing of steel
,,,24.31,Cold drawing of bars
,,,24.32,Cold rolling of narrow strip
,,,24.33,Cold forming or folding
,,,24.34,Cold drawing of wire
,,24.4,,Manufacture of basic precious and other non-ferrous metals
,,,24.41,Precious metals production
,,,24.42,Aluminium production
,,,24.43,"Lead, zinc and tin production"
,,,24.44,Copper production
,,,24.45,Other non-ferrous metal production
,,,24.46,Processing of nuclear fuel
,,24.5,,Casting of metals
,,,24.51,Casting of iron
,,,24.52,Casting of steel
,,,24.53,Casting of light metals
,,,24.54,Casting of other non-ferrous metals
,25,,,"Manufacture of fabricated metal products, except machinery and equipment"
,,25.1,,Manufacture of structural metal products
,,,25.11,Manufacture of metal structures and parts of structures
,,,25.12,Manufacture of doors and windows of metal
,,25.2,,"Manufacture of tanks, reservoirs and containers of metal"
,,,25.21,"Manufacture of central heating radiators, steam generators and boilers"
,,,25.22,"Manufacture of other tanks, reservoirs and containers of metal"
,,25.3,,Manufacture of weapons and ammunition
,,,25.30,Manufacture of weapons and ammunition
,,25.4,,Forging and shaping metal and powder metallurgy
,,,25.40,Forging and shaping metal and powder metallurgy
,,25.5,,Treatment and coating of metals; machining
,,,25.51,Coating of metals
,,,25.52,Heat treatment of metals
,,,25.53,Machining of metals
,,25.6,,"Manufacture of cutlery, tools and general hardware"
,,,25.61,Manufacture of cutlery
,,,25.62,Manufacture of locks and hinges
,,,25.63,Manufacture of tools
,,25.9,,Manufacture of other fabricated metal products
,,,25.91,Manufacture of steel drums and similar containers
,,,25.92,Manufacture of light metal packaging
,,,25.93,"Manufacture of wire products, chain and springs"
,,,25.94,Manufacture of fasteners and screw machine products
,,,25.99,Manufacture of other fabricated metal products n.e.c.
,26,,,"Manufacture of computer, electronic and optical products"
,,26.1,,Manufacture of electronic components and boards
,,,26.11,Manufacture of electronic components
,,,26.12,Manufacture of loaded electronic boards
,,26.2,,Manufacture of computers and peripheral equipment
,,,26.20,Manufacture of computers and peripheral equipment
,,26.3,,Manufacture of communication equipment
,,,26.30,Manufacture of communication equipment
,,26.4,,Manufacture of consumer electronics
,,,26.40,Manufacture of consumer electronics
,,26.5,,"Manufacture of measuring testing instruments, clocks and watches"
,,,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation"
,,,26.52,Manufacture of watches and clocks
,,26.6,,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
,,,26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
,,26.7,,"Manufacture of optical instruments, magnetic and optical media and photographic equipment"
,,,26.70,"Manufacture of optical instruments, magnetic and optical media and photographic equipment"
,27,,,Manufacture of electrical equipment
,,27.1,,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
,,,27.11,"Manufacture of electric motors, generators and transformers"
,,,27.12,Manufacture of electricity distribution and control apparatus
,,27.2,,Manufacture of batteries and accumulators
,,,27.20,Manufacture of batteries and accumulators
,,27.3,,Manufacture of wiring and wiring devices
,,,27.31,Manufacture of fibre optic cables
,,,27.32,Manufacture of other electronic and electric wires and cables
,,,27.33,Manufacture of wiring devices
,,27.4,,Manufacture of lighting equipment
,,,27.40,Manufacture of lighting equipment
,,27.5,,Manufacture of domestic appliances
,,,27.51,Manufacture of electric domestic appliances
,,,27.52,Manufacture of non-electric domestic appliances
,,27.9,,Manufacture of other electrical equipment
,,,27.90,Manufacture of other electrical equipment
,28,,,Manufacture of machinery and equipment n.e.c.
,,28.1,,Manufacture of general-purpose machinery
,,,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
,,,28.12,Manufacture of fluid power equipment
,,,28.13,Manufacture of other pumps and compressors
,,,28.14,Manufacture of other taps and valves
,,,28.15,"Manufacture of bearings, gears, gearing and driving elements"
,,28.2,,Manufacture of other general-purpose machinery
,,,28.21,"Manufacture of ovens, furnaces and permanent household heating equipment"
,,,28.22,Manufacture of lifting and handling equipment
,,,28.23,"Manufacture of office machinery and equipment, except computers and peripheral equipment"
,,,28.24,Manufacture of power-driven hand tools
,,,28.25,Manufacture of non-domestic air conditioning equipment
,,,28.29,Manufacture of other general-purpose machinery n.e.c.
,,28.3,,Manufacture of agricultural and forestry machinery
,,,28.30,Manufacture of agricultural and forestry machinery
,,28.4,,Manufacture of metal forming machinery and machine tools
,,,28.41,Manufacture of metal forming machinery and machine tools for metal work
,,,28.42,Manufacture of other machine tools
,,28.9,,Manufacture of other special-purpose machinery
,,,28.91,Manufacture of machinery for metallurgy
,,,28.92,"Manufacture of machinery for mining, quarrying and construction"
,,,28.93,"Manufacture of machinery for food, beverage and tobacco processing"
,,,28.94,"Manufacture of machinery for textile, apparel and leather production"
,,,28.95,Manufacture of machinery for paper and paperboard production
,,,28.96,Manufacture of plastics and rubber machinery
,,,28.97,Manufacture of additive manufacturing machinery
,,,28.99,Manufacture of other special-purpose machinery n.e.c.
,29,,,"Manufacture of motor vehicles, trailers and semi-trailers"
,,29.1,,Manufacture of motor vehicles
,,,29.10,Manufacture of motor vehicles
,,29.2,,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers
,,,29.20,Manufacture of bodies and coachwork for motor vehicles; manufacture of trailers and semi-trailers
,,29.3,,Manufacture of motor vehicle parts and accessories
,,,29.31,Manufacture of electrical and electronic equipment for motor vehicles
,,,29.32,Manufacture of other parts and accessories for motor vehicles
,30,,,Manufacture of other transport equipment
,,30.1,,Building of ships and boats
,,,30.11,Building of civilian ships and floating structures
,,,30.12,Building of pleasure and sporting boats
,,,30.13,Building of military ships and vessels
,,30.2,,Manufacture of railway locomotives and rolling stock
,,,30.20,Manufacture of railway locomotives and rolling stock
,,30.3,,Manufacture of air and spacecraft and related machinery
,,,30.31,Manufacture of civilian air and spacecraft and related machinery
,,,30.32,Manufacture of military air and spacecraft and related machinery
,,30.4,,Manufacture of military fighting vehicles
,,,30.40,Manufacture of military fighting vehicles
,,30.9,,Manufacture of transport equipment n.e.c.
,,,30.91,Manufacture of motorcycles
,,,30.92,Manufacture of bicycles and invalid carriages
,,,30.99,Manufacture of other transport equipment n.e.c.
,31,,,Manufacture of furniture
,,31.0,,Manufacture of furniture
,,,31.00,Manufacture of furniture
,32,,,Other manufacturing
,,32.1,,"Manufacture of jewellery, bijouterie and related articles"
,,,32.11,Striking of coins
,,,32.12,Manufacture of jewellery and related articles
,,,32.13,Manufacture of imitation jewellery and related articles
,,32.2,,Manufacture of musical instruments
,,,32.20,Manufacture of musical instruments
,,32.3,,Manufacture of sports goods
,,,32.30,Manufacture of sports goods
,,32.4,,Manufacture of games and toys
,,,32.40,Manufacture of games and toys
,,32.5,,Manufacture of medical and dental instruments and supplies
,,,32.50,Manufacture of medical and dental instruments and supplies
,,32.9,,Manufacturing n.e.c.
,,,32.91,Manufacture of brooms and brushes
,,,32.99,Other manufacturing n.e.c.
,33,,,"Repair, maintenance and installation of machinery and equipment"
,,33.1,,"Repair and maintenance of fabricated metal products, machinery and equipment"
,,,33.11,Repair and maintenance of fabricated metal products
,,,33.12,Repair and maintenance of machinery
,,,33.13,Repair and maintenance of electronic and optical equipment
,,,33.14,Repair and maintenance of electrical equipment
,,,33.15,Repair and maintenance of civilian ships and boats
,,,33.16,Repair and maintenance of civilian air and spacecraft
,,,33.17,Repair and maintenance of other civilian transport equipment
,,,33.18,"Repair and maintenance of military fighting vehicles, ships, boats, air and spacecraft"
,,,33.19,Repair and maintenance of other equipment
,,33.2,,Installation of industrial machinery and equipment
,,,33.20,Installation of industrial machinery and equipment
D,,,,"Electricity, gas, steam and air conditioning supply"
,35,,,"Electricity, gas, steam and air conditioning supply"
,,35.1,,"Electric power generation, transmission and distribution"
,,,35.11,Production of electricity from non-renewable sources
,,,35.12,Production of electricity from renewable sources
,,,35.13,Transmission of electricity
,,,35.14,Distribution of electricity
,,,35.15,Trade of electricity
,,,35.16,Storage of electricity
,,35.2,,"Manufacture of gas, and distribution of gaseous fuels through mains"
,,,35.21,Manufacture of gas
,,,35.22,Distribution of gaseous fuels through mains
,,,35.23,Trade of gas through mains
,,,35.24,Storage of gas as part of network supply services
,,35.3,,Steam and air conditioning supply
,,,35.30,Steam and air conditioning supply
,,35.4,,Activities of brokers and agents for electric power and natural gas
,,,35.40,Activities of brokers and agents for electric power and natural gas
E,,,,"Water supply; sewerage, waste management and remediation activities"
,36,,,"Water collection, treatment and supply"
,,36.0,,"Water collection, treatment and supply"
,,,36.00,"Water collection, treatment and supply"
,37,,,Sewerage
,,37.0,,Sewerage
,,,37.00,Sewerage
,38,,,"Waste collection, recovery and disposal activities"
,,38.1,,Waste collection
,,,38.11,Collection of non-hazardous waste
,,,38.12,Collection of hazardous waste
,,38.2,,Waste recovery
,,,38.21,Materials recovery
,,,38.22,Energy recovery
,,,38.23,Other waste recovery
,,38.3,,Waste disposal without recovery
,,,38.31,Incineration without energy recovery
,,,38.32,Landfilling or permanent storage
,,,38.33,Other waste disposal
,39,,,Remediation activities and other waste management service activities
,,39.0,,Remediation activities and other waste management service activities
,,,39.00,Remediation activities and other waste management service activities
F,,,,Construction
,41,,,Construction of residential and non-residential buildings
,,41.0,,Construction of residential and non-residential buildings
,,,41.00,Construction of residential and non-residential buildings
,42,,,Civil engineering
,,42.1,,Construction of roads and railways
,,,42.11,Construction of roads and motorways
,,,42.12,Construction of railways and underground railways
,,,42.13,Construction of bridges and tunnels
,,42.2,,Construction of utility projects
,,,42.21,Construction of utility projects for fluids
,,,42.22,Construction of utility projects for electricity and telecommunications
,,42.9,,Construction of other civil engineering projects
,,,42.91,Construction of water projects
,,,42.99,Construction of other civil engineering projects n.e.c.
,43,,,Specialised construction activities
,,43.1,,Demolition and site preparation
,,,43.11,Demolition
,,,43.12,Site preparation
,,,43.13,Test drilling and boring
,,43.2,,"Electrical, plumbing and other construction installation activities"
,,,43.21,Electrical installation
,,,43.22,"Plumbing, heat and air-conditioning installation"
,,,43.23,Installation of insulation
,,,43.24,Other construction installation
,,43.3,,Building completion and finishing
,,,43.31,Plastering
,,,43.32,Joinery installation
,,,43.33,Floor and wall covering
,,,43.34,Painting and glazing
,,,43.35,Other building completion and finishing
,,43.4,,Specialised construction activities in construction of buildings
,,,43.41,Roofing activities
,,,43.42,Other specialised construction activities in construction of buildings
,,43.5,,Specialised construction activities in civil engineering
,,,43.50,Specialised construction activities in civil engineering
,,43.6,,Intermediation service activities for specialised construction services
,,,43.60,Intermediation service activities for specialised construction services
,,43.9,,Other specialised construction activities
,,,43.91,Masonry and bricklaying activities
,,,43.99,Other specialised construction activities n.e.c.
G,,,,Wholesale and retail trade
,46,,,Wholesale trade
,,46.1,,Wholesale on a fee or contract basis
,,,46.11,"Activities of agents involved in the wholesale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
,,,46.12,"Activities of agents involved in the wholesale of fuels, ores, metals and industrial chemicals"
,,,46.13,Activities of agents involved in the wholesale of timber and building materials
,,,46.14,"Activities of agents involved in the wholesale of machinery, industrial equipment, ships and aircraft"
,,,46.15,"Activities of agents involved in the wholesale of furniture, household goods, hardware and ironmongery"
,,,46.16,"Activities of agents involved in the wholesale of textiles, clothing, fur, footwear and leather goods"
,,,46.17,"Activities of agents involved in the wholesale of food, beverages and tobacco"
,,,46.18,Activities of agents involved in the wholesale of other particular products
,,,46.19,Activities of agents involved in non-specialised wholesale
,,46.2,,Wholesale of agricultural raw materials and live animals
,,,46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
,,,46.22,Wholesale of flowers and plants
,,,46.23,Wholesale of live animals
,,,46.24,"Wholesale of hides, skins and leather"
,,46.3,,"Wholesale of food, beverages and tobacco"
,,,46.31,Wholesale of fruit and vegetables
,,,46.32,"Wholesale of meat, meat products, fish and fish products"
,,,46.33,"Wholesale of dairy products, eggs and edible oils and fats"
,,,46.34,Wholesale of beverages
,,,46.35,Wholesale of tobacco products
,,,46.36,"Wholesale of sugar, chocolate and sugar confectionery"
,,,46.37,"Wholesale of coffee, tea, cocoa and spices"
,,,46.38,Wholesale of other food
,,,46.39,"Non-specialised wholesale of food, beverages and tobacco"
,,46.4,,Wholesale of household goods
,,,46.41,Wholesale of textiles
,,,46.42,Wholesale of clothing and footwear
,,,46.43,Wholesale of electrical household appliances
,,,46.44,Wholesale of china and glassware and cleaning materials
,,,46.45,Wholesale of perfume and cosmetics
,,,46.46,Wholesale of pharmaceutical and medical goods
,,,46.47,"Wholesale of household, office and shop furniture, carpets and lighting equipment"
,,,46.48,Wholesale of watches and jewellery
,,,46.49,Wholesale of other household goods
,,46.5,,Wholesale of information and communication equipment
,,,46.50,Wholesale of information and communication equipment
,,46.6,,"Wholesale of other machinery, equipment and supplies"
,,,46.61,"Wholesale of agricultural machinery, equipment and supplies"
,,,46.62,Wholesale of machine tools
,,,46.63,"Wholesale of mining, construction and civil engineering machinery"
,,,46.64,Wholesale of other machinery and equipment
,,46.7,,"Wholesale of motor vehicles, motorcycles and related parts and accessories"
,,,46.71,Wholesale of motor vehicles
,,,46.72,Wholesale of motor vehicle parts and accessories
,,,46.73,"Wholesale of motorcycles, motorcycle parts and accessories"
,,46.8,,Other specialised wholesale
,,,46.81,"Wholesale of solid, liquid and gaseous fuels and related products"
,,,46.82,Wholesale of metals and metal ores
,,,46.83,"Wholesale of wood, construction materials and sanitary equipment"
,,,46.84,"Wholesale of hardware, plumbing and heating equipment and supplies"
,,,46.85,Wholesale of chemical products
,,,46.86,Wholesale of other intermediate products
,,,46.87,Wholesale of waste and scrap
,,,46.89,Other specialised wholesale n.e.c.
,,46.9,,Non-specialised wholesale trade
,,,46.90,Non-specialised wholesale trade
,47,,,Retail trade
,,47.1,,Non-specialised retail sale
,,,47.11,"Non-specialised retail sale of predominately food, beverages or tobacco"
,,,47.12,Other non-specialised retail sale
,,47.2,,"Retail sale of food, beverages and tobacco"
,,,47.21,Retail sale of fruit and vegetables
,,,47.22,Retail sale of meat and meat products
,,,47.23,"Retail sale of fish, crustaceans and molluscs"
,,,47.24,"Retail sale of bread, cake and confectionery"
,,,47.25,Retail sale of beverages
,,,47.26,Retail sale of tobacco products
,,,47.27,Retail sale of other food
,,47.3,,Retail sale of automotive fuel
,,,47.30,Retail sale of automotive fuel
,,47.4,,Retail sale of information and communication equipment
,,,47.40,Retail sale of information and communication equipment
,,47.5,,Retail sale of other household equipment
,,,47.51,Retail sale of textiles
,,,47.52,"Retail sale of hardware, building materials, paints and glass"
,,,47.53,"Retail sale of carpets, rugs, wall and floor coverings"
,,,47.54,Retail sale of electrical household appliances
,,,47.55,"Retail sale of furniture, lighting equipment, tableware and other household goods"
,,47.6,,Retail sale of cultural and recreation goods
,,,47.61,Retail sale of books
,,,47.62,"Retail sale of newspapers, and other periodical publications and stationery"
,,,47.63,Retail sale of sporting equipment
,,,47.64,Retail sale of games and toys
,,,47.69,Retail sale of cultural and recreational goods n.e.c.
,,47.7,,"Retail sale of other goods, except motor vehicles and motorcycles"
,,,47.71,Retail sale of clothing
,,,47.72,Retail sale of footwear and leather goods
,,,47.73,Retail sale of pharmaceutical products
,,,47.74,Retail sale of medical and orthopaedic goods
,,,47.75,Retail sale of cosmetic and toilet articles
,,,47.76,"Retail sale of flowers, plants, fertilisers, pets and pet food"
,,,47.77,Retail sale of watches and jewellery
,,,47.78,Retail sale of other new goods
,,,47.79,Retail sale of second-hand goods
,,47.8,,"Retail sale of motor vehicles, motorcycles and related parts and accessories"
,,,47.81,Retail sale of motor vehicles
,,,47.82,Retail sale of motor vehicle parts and accessories
