Section,Division,Group,Class,Activity,ISICRev. 4
,,,14.12,Manufacture of workwear,1410*
,,,14.13,Manufacture of other outerwear,1410*
,,,14.14,Manufacture of underwear,1410*
,,,14.19,Manufacture of other wearing apparel and accessories,1410*
,,14.2,,Manufacture of articles of fur,
,,,14.20,Manufacture of articles of fur,1420
,,14.3,,Manufacture of knitted and crocheted apparel,
,,,14.31,Manufacture of knitted and crocheted hosiery,1430*
,,,14.39,Manufacture of other knitted and crocheted apparel,1430*
,15,,,Manufacture of leather and related products,
,,15.1,,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",
,,,15.11,Tanning and dressing of leather; dressing and dyeing of fur,1511
,,,15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",1512
,,15.2,,Manufacture of footwear,
,,,15.20,Manufacture of footwear,1520
,16,,,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",
,,16.1,,Sawmilling and planing of wood,
,,,16.10,Sawmilling and planing of wood,1610
,,16.2,,"Manufacture of products of wood, cork, straw and plaiting materials",
,,,16.21,Manufacture of veneer sheets and wood-based panels,1621
,,,16.22,Manufacture of assembled parquet floors,1622*
,,,16.23,Manufacture of other builders' carpentry and joinery,1622*
,,,16.24,Manufacture of wooden containers,1623
,,,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",1629
,17,,,Manufacture of paper and paper products,
,,17.1,,"Manufacture of pulp, paper and paperboard",
,,,17.11,Manufacture of pulp,1701*
,,,17.12,Manufacture of paper and paperboard,1701*
,,17.2,,Manufacture of articles of paper and paperboard,
,,,17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1702
,,,17.22,Manufacture of household and sanitary goods and of toilet requisites,1709*
,,,17.23,Manufacture of paper stationery,1709*
,,,17.24,Manufacture of wallpaper,1709*
,,,17.29,Manufacture of other articles of paper and paperboard,1709*
,18,,,Printing and reproduction of recorded media,
,,18.1,,Printing and service activities related to printing,
,,,18.11,Printing of newspapers,1811*
,,,18.12,Other printing,1811*
,,,18.13,Pre-press and pre-media services,1812*
,,,18.14,Binding and related services,1812*
,,18.2,,Reproduction of recorded media,
,,,18.20,Reproduction of recorded media,1820
,19,,,Manufacture of coke and refined petroleum products,
,,19.1,,Manufacture of coke oven products,
,,,19.10,Manufacture of coke oven products,1910
,,19.2,,Manufacture of refined petroleum products,
,,,19.20,Manufacture of refined petroleum products,1920
,20,,,Manufacture of chemicals and chemical products,
,,20.1,,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",
,,,20.11,Manufacture of industrial gases,2011*
,,,20.12,Manufacture of dyes and pigments,2011*
,,,20.13,Manufacture of other inorganic basic chemicals,2011*
,,,20.14,Manufacture of other organic basic chemicals,2011*
,,,20.15,Manufacture of fertilisers and nitrogen compounds,2012
,,,20.16,Manufacture of plastics in primary forms,2013*
,,,20.17,Manufacture of synthetic rubber in primary forms,2013*
,,20.2,,Manufacture of pesticides and other agrochemical products,
,,,20.20,Manufacture of pesticides and other agrochemical products,2021
,,20.3,,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",
,,,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2022
,,20.4,,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",
,,,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",2023*
,,,20.42,Manufacture of perfumes and toilet preparations,2023*
,,20.5,,Manufacture of other chemical products,
,,,20.51,Manufacture of explosives,2029*
,,,20.52,Manufacture of glues,2029*
,,,20.53,Manufacture of essential oils,2029*
,,,20.59,Manufacture of other chemical products n.e.c.,2029*
,,20.6,,Manufacture of man-made fibres,
,,,20.60,Manufacture of man-made fibres,2030
,21,,,Manufacture of basic pharmaceutical products and pharmaceutical preparations,
,,21.1,,Manufacture of basic pharmaceutical products,
,,,21.10,Manufacture of basic pharmaceutical products,2100*
,,21.2,,Manufacture of pharmaceutical preparations,
,,,21.20,Manufacture of pharmaceutical preparations,2100*
,22,,,Manufacture of rubber and plastic products,
,,22.1,,Manufacture of rubber products,
,,,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,2211
,,,22.19,Manufacture of other rubber products,2219
,,22.2,,Manufacture of plastics products,
,,,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",2220*
,,,22.22,Manufacture of plastic packing goods,2220*
,,,22.23,Manufacture of builders' ware of plastic,2220*
,,,22.29,Manufacture of other plastic products,2220*
,23,,,Manufacture of other non-metallic mineral products,
,,23.1,,Manufacture of glass and glass products,
,,,23.11,Manufacture of flat glass,2310*
,,,23.12,Shaping and processing of flat glass,2310*
,,,23.13,Manufacture of hollow glass,2310*
,,,23.14,Manufacture of glass fibres,2310*
,,,23.19,"Manufacture and processing of other glass, including technical glassware",2310*
,,23.2,,Manufacture of refractory products,
,,,23.20,Manufacture of refractory products,2391
,,23.3,,Manufacture of clay building materials,
,,,23.31,Manufacture of ceramic tiles and flags,2392*
,,,23.32,"Manufacture of bricks, tiles and construction products, in baked clay",2392*
,,23.4,,Manufacture of other porcelain and ceramic products,
,,,23.41,Manufacture of ceramic household and ornamental articles,2393*
,,,23.42,Manufacture of ceramic sanitary fixtures,2393*
,,,23.43,Manufacture of ceramic insulators and insulating fittings,2393*
,,,23.44,Manufacture of other technical ceramic products,2393*
,,,23.49,Manufacture of other ceramic products,2393*
,,23.5,,"Manufacture of cement, lime and plaster",
,,,23.51,Manufacture of cement,2394*
,,,23.52,Manufacture of lime and plaster,2394*
,,23.6,,"Manufacture of articles of concrete, cement and plaster",
,,,23.61,Manufacture of concrete products for construction purposes,2395*
,,,23.62,Manufacture of plaster products for construction purposes,2395*
,,,23.63,Manufacture of ready-mixed concrete,2395*
,,,23.64,Manufacture of mortars,2395*
,,,23.65,Manufacture of fibre cement,2395*
,,,23.69,"Manufacture of other articles of concrete, plaster and cement",2395*
,,23.7,,"Cutting, shaping and finishing of stone",
,,,23.70,"Cutting, shaping and finishing of stone",2396
,,23.9,,Manufacture of abrasive products and non-metallic mineral products n.e.c.,
,,,23.91,Production of abrasive products,2399*
,,,23.99,Manufacture of other non-metallic mineral products n.e.c.,2399*
,24,,,Manufacture of basic metals,
,,24.1,,Manufacture of basic iron and steel and of ferro-alloys,
,,,24.10,Manufacture of basic iron and steel and of ferro-alloys,2410*
,,24.2,,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",
,,,24.20,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",2410*
,,24.3,,Manufacture of other products of first processing of steel,
,,,24.31,Cold drawing of bars,2410*
,,,24.32,Cold rolling of narrow strip,2410*
,,,24.33,Cold forming or folding,2410*
,,,24.34,Cold drawing of wire,2410*
,,24.4,,Manufacture of basic precious and other non-ferrous metals,
,,,24.41,Precious metals production,2420*
,,,24.42,Aluminium production,2420*
,,,24.43,"Lead, zinc and tin production",2420*
,,,24.44,Copper production,2420*
,,,24.45,Other non-ferrous metal production,2420*
,,,24.46,Processing of nuclear fuel,2420*
,,24.5,,Casting of metals,
,,,24.51,Casting of iron,2431*
,,,24.52,Casting of steel,2431*
,,,24.53,Casting of light metals,2432*
,,,24.54,Casting of other non-ferrous metals,2432*
,25,,,"Manufacture of fabricated metal products, except machinery and equipment",
,,25.1,,Manufacture of structural metal products,
,,,25.11,Manufacture of metal structures and parts of structures,2511*
,,,25.12,Manufacture of doors and windows of metal,2511*
,,25.2,,"Manufacture of tanks, reservoirs and containers of metal",
,,,25.21,Manufacture of central heating radiators and boilers,2512*
,,,25.29,"Manufacture of other tanks, reservoirs and containers of metal",2512*
,,25.3,,"Manufacture of steam generators, except central heating hot water boilers",
,,,25.30,"Manufacture of steam generators, except central heating hot water boilers",2513
,,25.4,,Manufacture of weapons and ammunition,
,,,25.40,Manufacture of weapons and ammunition,2520
,,25.5,,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",
,,,25.50,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591
,,25.6,,Treatment and coating of metals; machining,
,,,25.61,Treatment and coating of metals,2592*
,,,25.62,Machining,2592*
,,25.7,,"Manufacture of cutlery, tools and general hardware",
,,,25.71,Manufacture of cutlery,2593*
,,,25.72,Manufacture of locks and hinges,2593*
,,,25.73,Manufacture of tools,2593*
,,25.9,,Manufacture of other fabricated metal products,
,,,25.91,Manufacture of steel drums and similar containers,2599*
,,,25.92,Manufacture of light metal packaging,2599*
,,,25.93,"Manufacture of wire products, chain and springs",2599*
,,,25.94,Manufacture of fasteners and screw machine products,2599*
,,,25.99,Manufacture of other fabricated metal products n.e.c.,2599*
,26,,,"Manufacture of computer, electronic and optical products",
,,26.1,,Manufacture of electronic components and boards,
,,,26.11,Manufacture of electronic components,2610*
,,,26.12,Manufacture of loaded electronic boards,2610*
,,26.2,,Manufacture of computers and peripheral equipment,
,,,26.20,Manufacture of computers and peripheral equipment,2620
,,26.3,,Manufacture of communication equipment,
,,,26.30,Manufacture of communication equipment,2630
,,26.4,,Manufacture of consumer electronics,
,,,26.40,Manufacture of consumer electronics,2640
,,26.5,,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",
,,,26.51,"Manufacture of instruments and appliances for measuring, testing and navigation",2651
,,,26.52,Manufacture of watches and clocks,2652
,,26.6,,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",
,,,26.60,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660
,,26.7,,Manufacture of optical instruments and photographic equipment,
,,,26.70,Manufacture of optical instruments and photographic equipment,2670
,,26.8,,Manufacture of magnetic and optical media,
,,,26.80,Manufacture of magnetic and optical media,2680
,27,,,Manufacture of electrical equipment,
,,27.1,,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",
,,,27.11,"Manufacture of electric motors, generators and transformers",2710*
,,,27.12,Manufacture of electricity distribution and control apparatus,2710*
,,27.2,,Manufacture of batteries and accumulators,
,,,27.20,Manufacture of batteries and accumulators,2720
,,27.3,,Manufacture of wiring and wiring devices,
,,,27.31,Manufacture of fibre optic cables,2731
,,,27.32,Manufacture of other electronic and electric wires and cables,2732
,,,27.33,Manufacture of wiring devices,2733
,,27.4,,Manufacture of electric lighting equipment,
,,,27.40,Manufacture of electric lighting equipment,2740
,,27.5,,Manufacture of domestic appliances,
,,,27.51,Manufacture of electric domestic appliances,2750*
,,,27.52,Manufacture of non-electric domestic appliances,2750*
,,27.9,,Manufacture of other electrical equipment,
,,,27.90,Manufacture of other electrical equipment,2790
,28,,,Manufacture of machinery and equipment n.e.c.,
,,28.1,,Manufacture of general — purpose machinery,
,,,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2811
,,,28.12,Manufacture of fluid power equipment,2812
,,,28.13,Manufacture of other pumps and compressors,2813*
,,,28.14,Manufacture of other taps and valves,2813*
,,,28.15,"Manufacture of bearings, gears, gearing and driving elements",2814
,,28.2,,Manufacture of other general-purpose machinery,
,,,28.21,"Manufacture of ovens, furnaces and furnace burners",2815
,,,28.22,Manufacture of lifting and handling equipment,2816
,,,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),2817
,,,28.24,Manufacture of power-driven hand tools,2818
,,,28.25,Manufacture of non-domestic cooling and ventilation equipment,2819*
,,,28.29,Manufacture of other general-purpose machinery n.e.c.,2819*
,,28.3,,Manufacture of agricultural and forestry machinery,
,,,28.30,Manufacture of agricultural and forestry machinery,2821
,,28.4,,Manufacture of metal forming machinery and machine tools,
,,,28.41,Manufacture of metal forming machinery,2822*
,,,28.49,Manufacture of other machine tools,2822*
,,28.9,,Manufacture of other special-purpose machinery,
,,,28.91,Manufacture of machinery for metallurgy,2823
,,,28.92,"Manufacture of machinery for mining, quarrying and construction",2824
,,,28.93,"Manufacture of machinery for food, beverage and tobacco processing",2825
,,,28.94,"Manufacture of machinery for textile, apparel and leather production",2826
,,,28.95,Manufacture of machinery for paper and paperboard production,2829*
,,,28.96,Manufacture of plastic and rubber machinery,2829*
,,,28.99,Manufacture of other special-purpose machinery n.e.c.,2829*
,29,,,"Manufacture of motor vehicles, trailers and semi-trailers",
,,29.1,,Manufacture of motor vehicles,
,,,29.10,Manufacture of motor vehicles,2910
,,29.2,,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,
,,,29.20,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920
,,29.3,,Manufacture of parts and accessories for motor vehicles,
,,,29.31,Manufacture of electrical and electronic equipment for motor vehicles,2930*
,,,29.32,Manufacture of other parts and accessories for motor vehicles,2930*
,30,,,Manufacture of other transport equipment,
,,30.1,,Building of ships and boats,
,,,30.11,Building of ships and floating structures,3011
,,,30.12,Building of pleasure and sporting boats,3012
,,30.2,,Manufacture of railway locomotives and rolling stock,
,,,30.20,Manufacture of railway locomotives and rolling stock,3020
,,30.3,,Manufacture of air and spacecraft and related machinery,
,,,30.30,Manufacture of air and spacecraft and related machinery,3030
,,30.4,,Manufacture of military fighting vehicles,
,,,30.40,Manufacture of military fighting vehicles,3040
,,30.9,,Manufacture of transport equipment n.e.c.,
,,,30.91,Manufacture of motorcycles,3091
,,,30.92,Manufacture of bicycles and invalid carriages,3092
,,,30.99,Manufacture of other transport equipment n.e.c.,3099
,31,,,Manufacture of furniture,
,,31.0,,Manufacture of furniture,
,,,31.01,Manufacture of office and shop furniture,3100*
,,,31.02,Manufacture of kitchen furniture,3100*
,,,31.03,Manufacture of mattresses,3100*
,,,31.09,Manufacture of other furniture,3100*
,32,,,Other manufacturing,
,,32.1,,"Manufacture of jewellery, bijouterie and related articles",
,,,32.11,Striking of coins,3211*
,,,32.12,Manufacture of jewellery and related articles,3211*
,,,32.13,Manufacture of imitation jewellery and related articles,3212
,,32.2,,Manufacture of musical instruments,
,,,32.20,Manufacture of musical instruments,3220
,,32.3,,Manufacture of sports goods,
,,,32.30,Manufacture of sports goods,3230
,,32.4,,Manufacture of games and toys,
,,,32.40,Manufacture of games and toys,3240
,,32.5,,Manufacture of medical and dental instruments and supplies,
,,,32.50,Manufacture of medical and dental instruments and supplies,3250
,,32.9,,Manufacturing n.e.c.,
,,,32.91,Manufacture of brooms and brushes,3290*
,,,32.99,Other manufacturing n.e.c.,3290*
,33,,,Repair and installation of machinery and equipment,
,,33.1,,"Repair of fabricated metal products, machinery and equipment",
,,,33.11,Repair of fabricated metal products,3311
,,,33.12,Repair of machinery,3312
,,,33.13,Repair of electronic and optical equipment,3313
,,,33.14,Repair of electrical equipment,3314
,,,33.15,Repair and maintenance of ships and boats,3315*
,,,33.16,Repair and maintenance of aircraft and spacecraft,3315*
,,,33.17,Repair and maintenance of other transport equipment,3315*
,,,33.19,Repair of other equipment,3319
,,33.2,,Installation of industrial machinery and equipment,
,,,33.20,Installation of industrial machinery and equipment,3320
D,,,,"Electricity, Gas, Steam And Air Conditioning Supply",
,35,,,"Electricity, gas, steam and air conditioning supply",
,,35.1,,"Electric power generation, transmission and distribution",
,,,35.11,Production of electricity,3510*
,,,35.12,Transmission of electricity,3510*
,,,35.13,Distribution of electricity,3510*
,,,35.14,Trade of electricity,3510*
,,35.2,,Manufacture of gas; distribution of gaseous fuels through mains,
,,,35.21,Manufacture of gas,3520*
,,,35.22,Distribution of gaseous fuels through mains,3520*
,,,35.23,Trade of gas through mains,3520*
,,35.3,,Steam and air conditioning supply,
,,,35.30,Steam and air conditioning supply,3530
E,,,,"Water Supply; Sewerage, Waste Management And Remediation Activities",
,36,,,"Water collection, treatment and supply",
,,36.0,,"Water collection, treatment and supply",
,,,36.00,"Water collection, treatment and supply",3600
,37,,,Sewerage,
,,37.0,,Sewerage,
,,,37.00,Sewerage,3700
,38,,,"Waste collection, treatment and disposal activities; materials recovery",
,,38.1,,Waste collection,
,,,38.11,Collection of non-hazardous waste,3811
,,,38.12,Collection of hazardous waste,3812
,,38.2,,Waste treatment and disposal,
,,,38.21,Treatment and disposal of non-hazardous waste,3821
,,,38.22,Treatment and disposal of hazardous waste,3822
,,38.3,,Materials recovery,
,,,38.31,Dismantling of wrecks,3830*
,,,38.32,Recovery of sorted materials,3830*
,39,,,Remediation activities and other waste management services,
,,39.0,,Remediation activities and other waste management services,
,,,39.00,Remediation activities and other waste management services,3900
F,,,,Construction,
,41,,,Construction of buildings,
,,41.1,,Development of building projects,
,,,41.10,Development of building projects,4100*
,,41.2,,Construction of residential and non-residential buildings,
,,,41.20,Construction of residential and non-residential buildings,4100*
,42,,,Civil engineering,
,,42.1,,Construction of roads and railways,
,,,42.11,Construction of roads and motorways,4210*
,,,42.12,Construction of railways and underground railways,4210*
,,,42.13,Construction of bridges and tunnels,4210*
,,42.2,,Construction of utility projects,
,,,42.21,Construction of utility projects for fluids,4220*
,,,42.22,Construction of utility projects for electricity and telecommunications,4220*
,,42.9,,Construction of other civil engineering projects,
,,,42.91,Construction of water projects,4290*
,,,42.99,Construction of other civil engineering projects n.e.c.,4290*
,43,,,Specialised construction activities,
,,43.1,,Demolition and site preparation,
,,,43.11,Demolition,4311
,,,43.12,Site preparation,4312*
,,,43.13,Test drilling and boring,4312*
,,43.2,,"Electrical, plumbing and other construction installation activities",
,,,43.21,Electrical installation,4321
,,,43.22,"Plumbing, heat and air conditioning installation",4322
,,,43.29,Other construction installation,4329
,,43.3,,Building completion and finishing,
,,,43.31,Plastering,4330*
,,,43.32,Joinery installation,4330*
,,,43.33,Floor and wall covering,4330*
,,,43.34,Painting and glazing,4330*
,,,43.39,Other building completion and finishing,4330*
,,43.9,,Other specialised construction activities,
,,,43.91,Roofing activities,4390*
,,,43.99,Other specialised construction activities n.e.c.,4390*
G,,,,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,
,45,,,Wholesale and retail trade and repair of motor vehicles and motorcycles,
,,45.1,,Sale of motor vehicles,
,,,45.11,Sale of cars and light motor vehicles,4510*
,,,45.19,Sale of other motor vehicles,4510*
,,45.2,,Maintenance and repair of motor vehicles,
,,,45.20,Maintenance and repair of motor vehicles,4520
,,45.3,,Sale of motor vehicle parts and accessories,
,,,45.31,Wholesale trade of motor vehicle parts and accessories,4530*
,,,45.32,Retail trade of motor vehicle parts and accessories,4530*
,,45.4,,"Sale, maintenance and repair of motorcycles and related parts and accessories",
,,,45.40,"Sale, maintenance and repair of motorcycles and related parts and accessories",4540
,46,,,"Wholesale trade, except of motor vehicles and motorcycles",
,,46.1,,Wholesale on a fee or contract basis,
,,,46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",4610*
,,,46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",4610*
,,,46.13,Agents involved in the sale of timber and building materials,4610*
,,,46.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",4610*
,,,46.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",4610*
,,,46.16,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",4610*
,,,46.17,"Agents involved in the sale of food, beverages and tobacco",4610*
,,,46.18,Agents specialised in the sale of other particular products,4610*
,,,46.19,Agents involved in the sale of a variety of goods,4610*
,,46.2,,Wholesale of agricultural raw materials and live animals,
,,,46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",4620*
,,,46.22,Wholesale of flowers and plants,4620*
,,,46.23,Wholesale of live animals,4620*
,,,46.24,"Wholesale of hides, skins and leather",4620*
,,46.3,,"Wholesale of food, beverages and tobacco",
,,,46.31,Wholesale of fruit and vegetables,4630*
,,,46.32,Wholesale of meat and meat products,4630*
,,,46.33,"Wholesale of dairy products, eggs and edible oils and fats",4630*
,,,46.34,Wholesale of beverages,4630*
,,,46.35,Wholesale of tobacco products,4630*
,,,46.36,Wholesale of sugar and chocolate and sugar confectionery,4630*
,,,46.37,"Wholesale of coffee, tea, cocoa and spices",4630*
,,,46.38,"Wholesale of other food, including fish, crustaceans and molluscs",4630*
,,,46.39,"Non-specialised wholesale of food, beverages and tobacco",4630*
,,46.4,,Wholesale of household goods,
,,,46.41,Wholesale of textiles,4641*
,,,46.42,Wholesale of clothing and footwear,4641*
,,,46.43,Wholesale of electrical household appliances,4649*
,,,46.44,Wholesale of china and glassware and cleaning materials,4649*
,,,46.45,Wholesale of perfume and cosmetics,4649*
,,,46.46,Wholesale of pharmaceutical goods,4649*
,,,46.47,"Wholesale of furniture, carpets and lighting equipment",4649*
,,,46.48,Wholesale of watches and jewellery,4649*
,,,46.49,Wholesale of other household goods,4649*
,,46.5,,Wholesale of information and communication equipment,
,,,46.51,"Wholesale of computers, computer peripheral equipment and software",4651
,,,46.52,Wholesale of electronic and telecommunications equipment and parts,4652
,,46.6,,"Wholesale of other machinery, equipment and supplies",
,,,46.61,"Wholesale of agricultural machinery, equipment and supplies",4653
,,,46.62,Wholesale of machine tools,4659*
